DrugName,ChemicalComposition,Description
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)), C40H77O10P,A synthetic lung surfactant used to treat infant respiratory distress syndrome.
"1,2-Benzodiazepine", C9H8N2,"Benzodiazepine is under investigation for the prevention of Delirium and C.Surgical Procedure; Cardiac. Benzodiazepine has been investigated for the treatment of Obesity, Sleep Apnea, Obstructive, and Disorders of Gallbladder, Biliary..."
"1,2-Distearoyllecithin", C44H88NO8P,
"1,2-icosapentoyl-sn-glycero-3-phosphoserine", C47H72NO10P,
2-mercaptobenzothiazole, C7H5NS2,
"2,2'-Dibenzothiazyl disulfide", C14H8N2S4,"2,2'-Dibenzothiazyl disulfide is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6..."
4-(Isopropylamino)diphenylamine, C15H18N2,4-(Isopropylamino)diphenylamine is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
5-O-phosphono-alpha-D-ribofuranosyl diphosphate, C5H13O14P3,"The key substance in the biosynthesis of histidine, tryptophan, and purine and pyrimidine nucleotides."
Abacavir, C14H18N6O,An antiviral nucleoside reverse transcriptase inhibitor used in combination with other antiretrovirals for the treatment of HIV.
Abametapir, C12H12N2,A pediculicide metalloproteinase used topically in the treatment of head lice infection.
Abarelix, C72H95ClN14O14,For palliative treatment of advanced prostate cancer.
Abemaciclib, C27H32F2N8,A medication used to treat HR+ HER2- advanced or metastatic breast cancer.
Abiraterone, C24H31NO,An antiandrogen used in the treatment of metastatic castration-resistant prostate cancer and metastatic high-risk castration-sensitive prostate cancer.
Abrocitinib, C14H21N5O2S,A kinase inhibitor used to treat moderate-to-severe atopic dermatitis in adults.
Acalabrutinib, C26H23N7O2,"A Bruton tyrosine kinase inhibitor used to treat mantle cell lymphoma, chronic lymphocytic leukemia, and small lymphocytic lymphoma."
Acamprosate, C5H11NO4S,A medication used to maintain alcohol abstinence in patients with alcohol dependence.
Acarbose, C25H43NO18,An alpha-glucosidase inhibitor used in adjunctly with diet and exercise for the management of glycemic control in patients with type 2 diabetes mellitus.
Acebutolol, C18H28N2O4,A selective β1-receptor antagonist used for the management of hypertension and ventricular premature beats in adults.
Aceclidine, C9H15NO2,Aceclidine has been marketed in Europe but has not been used clinically in the United States. It is used in the treatment of open-angle glaucoma and is a parasympathomimetic agent.
Aceclofenac, C16H13Cl2NO4,"Aceclofenac is indicated for the relief of pain and inflammation in osteoarthritis, rheumatoid arthritis and ankylosing spondylitis."
