DrugName,Rating,genericName,Disease
anastrozole,5.1,anastrozole systemic,breast-cancer
tamoxifen,5.1,tamoxifen systemic,breast-cancer
letrozole,5.3,letrozole systemic,breast-cancer
Arimidex,5.7,anastrozole systemic,breast-cancer
Verzenio,8.1,abemaciclib systemic,breast-cancer
Ibrance,4.0,palbociclib systemic,breast-cancer
exemestane,5.1,exemestane systemic,breast-cancer
abemaciclib,8.1,abemaciclib systemic,breast-cancer
palbociclib,4.0,palbociclib systemic,breast-cancer
Keytruda,5.4,pembrolizumab systemic,breast-cancer
Kisqali,8.0,ribociclib systemic,breast-cancer
pembrolizumab,5.4,pembrolizumab systemic,breast-cancer
Piqray,6.3,alpelisib systemic,breast-cancer
ribociclib,6.3,ribociclib systemic,breast-cancer
alpelisib,6.3,alpelisib systemic,breast-cancer
Enhertu,8.3,fam-trastuzumab deruxtecan systemic,breast-cancer
Femara,6.2,letrozole systemic,breast-cancer
Trodelvy,8.0,sacituzumab govitecan systemic,breast-cancer
fam-trastuzumab deruxtecan,8.3,fam-trastuzumab deruxtecan systemic,breast-cancer
sacituzumab govitecan,8.0,sacituzumab govitecan systemic,breast-cancer
Aromasin,4.9,exemestane systemic,breast-cancer
Herceptin,8.2,trastuzumab systemic,breast-cancer
Abraxane,9.7,paclitaxel protein-bound systemic,breast-cancer
methotrexate,,methotrexate systemic,breast-cancer
Afinitor,4.3,everolimus systemic,breast-cancer
Taxotere,3.4,docetaxel systemic,breast-cancer
Trexall,,methotrexate systemic,breast-cancer
Xeloda,6.0,capecitabine systemic,breast-cancer
cyclophosphamide,,cyclophosphamide systemic,breast-cancer
Faslodex,4.5,fulvestrant systemic,breast-cancer
paclitaxel,7.0,paclitaxel systemic,breast-cancer
doxorubicin,5.0,doxorubicin systemic,breast-cancer
Perjeta,,pertuzumab systemic,breast-cancer
trastuzumab,8.2,trastuzumab systemic,breast-cancer
capecitabine,5.7,capecitabine systemic,breast-cancer
docetaxel,3.3,docetaxel systemic,breast-cancer
everolimus,4.5,everolimus systemic,breast-cancer
fluorouracil,,fluorouracil systemic,breast-cancer
fulvestrant,5.0,fulvestrant systemic,breast-cancer
Gemzar,,gemcitabine systemic,breast-cancer
paclitaxel protein-bound,9.7,paclitaxel protein-bound systemic,breast-cancer
Soltamox,,tamoxifen systemic,breast-cancer
Tykerb,,lapatinib systemic,breast-cancer
Fareston,,toremifene systemic,breast-cancer
Halaven,0.0,eribulin systemic,breast-cancer
letrozole / ribociclib,7.0,letrozole / ribociclib systemic,breast-cancer
Menest,,esterified estrogens systemic,breast-cancer
pertuzumab,,pertuzumab systemic,breast-cancer
ado-trastuzumab emtansine,,ado-trastuzumab emtansine systemic,breast-cancer
atezolizumab,5.5,atezolizumab systemic,breast-cancer
bevacizumab,,bevacizumab systemic,breast-cancer
eribulin,0.0,eribulin systemic,breast-cancer
